,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweet Count
71,BBC,Sat Jun 23 07:59:02 +0000 2018,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91,0.2732,0.14,0.86,0.0,72
72,BBC,Sat Jun 23 07:22:00 +0000 2018,"♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z",0.0,0.0,1.0,0.0,73
73,BBC,Fri Jun 22 19:11:28 +0000 2018,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347",0.6369,0.259,0.741,0.0,74
74,BBC,Fri Jun 22 19:11:15 +0000 2018,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…",0.25,0.087,0.913,0.0,75
75,BBC,Fri Jun 22 19:10:41 +0000 2018,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…",0.0,0.0,1.0,0.0,76
76,BBC,Fri Jun 22 19:10:14 +0000 2018,RT @BBCTwo: How long would it take you to demolish this AMAZING burger? 🍔😵 #MillionPoundMenu https://t.co/KH8VHK2rE6,0.7518,0.265,0.735,0.0,77
77,BBC,Fri Jun 22 19:09:53 +0000 2018,"RT @BBCFOUR: With over 10,000 credits, Carol Kaye is one of the most prolific bassists of all time – and her bragging rights are *amazing*.…",0.3612,0.098,0.902,0.0,78
78,BBC,Fri Jun 22 19:04:06 +0000 2018,"❤️🐿 Meet the sabre-toothed squirrel whose life was saved by an amateur dentist.
👉 https://t.co/C6gXwp7Yke https://t.co/fp3vGzEW5S",0.4215,0.167,0.833,0.0,79
79,BBC,Fri Jun 22 18:01:05 +0000 2018,"😂👛 Everyone has that one mate who always loses their purse... 
#HearHer #LiveAtTheApollo https://t.co/DinViMhGVm",-0.3182,0.0,0.85,0.15,80
80,BBC,Fri Jun 22 17:00:21 +0000 2018,🐾🐶💕 Would you give a deaf dog a home? https://t.co/sjbsjOEzqT,0.0,0.0,1.0,0.0,81
